ticket_id,subject,status,product,created_date,linked_incident,customer_id
SUP-0045,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,InsightCRM,2025-04-21,,CST-0016
SUP-0046,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,FusionERP,2021-12-04,,CST-0017
SUP-0047,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,FusionERP,2021-12-04,,CST-0017
SUP-0048,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,InsightCRM,2024-03-25,,CST-0017
SUP-0049,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,AtlasPay,2024-12-06,,CST-0017
SUP-0050,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,AtlasPay,2022-11-09,,CST-0017
SUP-0051,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,CloudSync,2024-01-25,,CST-0018
SUP-0052,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,NovaCommerce,2023-04-20,,CST-0018
SUP-0053,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Open,CloudSync,2025-10-03,,CST-0018
SUP-0054,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,NovaCommerce,2021-04-27,,CST-0018
SUP-0055,The search filter in NovaCommerce is returning incorrect inventory counts.,Open,VisionAI,2023-07-31,,CST-0019
SUP-0056,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,VisionAI,2025-09-12,,CST-0019
SUP-0057,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,NovaCommerce,2023-11-08,,CST-0020
SUP-0058,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,CloudSync,2021-01-15,,CST-0020
SUP-0059,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Open,NovaCommerce,2023-12-22,,CST-0020
SUP-0060,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,CloudSync,2023-10-13,,CST-0020
SUP-0061,System Error: Database connection pool exhaustion on cloudsync-storage affecting our operations.,Closed,CloudSync,2021-06-08,INC-0141,CST-0021
SUP-0062,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Open,FusionERP,2024-06-22,,CST-0022
SUP-0063,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,FusionERP,2021-07-08,,CST-0022
SUP-0064,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,FusionERP,2024-05-22,,CST-0022
SUP-0065,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,AtlasPay,2022-10-01,,CST-0023
SUP-0066,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,FusionERP,2022-11-04,,CST-0023
SUP-0067,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Open,AtlasPay,2023-09-25,,CST-0023
SUP-0068,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,FusionERP,2021-06-03,,CST-0023
SUP-0069,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,CloudSync,2024-07-08,,CST-0024
SUP-0070,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,CloudSync,2024-09-22,,CST-0024
SUP-0071,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,CloudSync,2022-02-02,,CST-0024
SUP-0072,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,CloudSync,2023-06-18,,CST-0024
SUP-0073,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Open,CloudSync,2024-11-26,,CST-0024
SUP-0074,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,FusionERP,2021-11-14,,CST-0025
SUP-0075,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,InsightCRM,2022-08-29,,CST-0026
SUP-0076,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,CloudSync,2022-11-27,,CST-0026
SUP-0077,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,CloudSync,2021-12-21,,CST-0027
SUP-0078,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,CloudSync,2024-07-15,,CST-0027
SUP-0079,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,NovaCommerce,2024-10-27,,CST-0028
SUP-0080,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,VisionAI,2023-05-08,,CST-0029
SUP-0081,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,AtlasPay,2023-03-03,,CST-0029
SUP-0082,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,AtlasPay,2024-06-07,,CST-0029
SUP-0083,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,AtlasPay,2022-03-13,,CST-0029
SUP-0084,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,NovaCommerce,2022-08-17,,CST-0029
SUP-0085,System Error: Cache stampede in cloudsync-desktop for metadata queries affecting our operations.,Closed,CloudSync,2021-09-07,INC-0211,CST-0030
SUP-0086,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,NovaCommerce,2025-10-21,,CST-0030
SUP-0087,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,CloudSync,2024-06-11,,CST-0030
SUP-0088,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,CloudSync,2023-01-26,,CST-0030
SUP-0089,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,NovaCommerce,2021-05-30,,CST-0030
SUP-0090,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,FusionERP,2023-08-07,,CST-0031
SUP-0091,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,FusionERP,2025-10-30,,CST-0031
SUP-0092,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,FusionERP,2023-06-28,,CST-0031
SUP-0093,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,InsightCRM,2025-12-03,,CST-0031
SUP-0094,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,NovaCommerce,2025-09-20,,CST-0032
SUP-0095,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,NovaCommerce,2024-05-16,,CST-0032
SUP-0096,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,NovaCommerce,2023-10-24,,CST-0033
SUP-0097,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,NovaCommerce,2025-05-13,,CST-0033
SUP-0098,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,NovaCommerce,2023-08-14,,CST-0034
SUP-0099,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,VisionAI,2022-02-03,,CST-0034
SUP-0100,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Open,VisionAI,2022-05-23,,CST-0034
SUP-0101,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,InsightCRM,2024-11-17,,CST-0034
SUP-0102,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Open,NovaCommerce,2021-07-11,,CST-0035
SUP-0103,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,NovaCommerce,2025-01-20,,CST-0035
SUP-0104,System Error: Unoptimized query on novacommerce-cart database after release affecting our operations.,Closed,NovaCommerce,2021-07-21,INC-0165,CST-0035
SUP-0105,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,FusionERP,2022-11-13,,CST-0035
SUP-0106,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,CloudSync,2024-01-01,,CST-0036
SUP-0107,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,NovaCommerce,2021-10-09,,CST-0037
SUP-0108,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,NovaCommerce,2021-09-20,,CST-0037
SUP-0109,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,CloudSync,2021-01-02,,CST-0037
SUP-0110,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,InsightCRM,2022-11-12,,CST-0037
SUP-0111,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,InsightCRM,2023-07-28,,CST-0037
SUP-0112,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,NovaCommerce,2025-03-12,,CST-0038
SUP-0113,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,VisionAI,2025-09-03,,CST-0038
SUP-0114,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,NovaCommerce,2022-11-02,,CST-0038
SUP-0115,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,NovaCommerce,2022-01-13,,CST-0039
SUP-0116,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,AtlasPay,2024-09-06,,CST-0040
SUP-0117,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,AtlasPay,2021-11-15,,CST-0040
SUP-0118,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,VisionAI,2022-04-09,,CST-0040
SUP-0119,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,AtlasPay,2025-11-12,,CST-0040
SUP-0120,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,AtlasPay,2024-02-18,,CST-0040
SUP-0121,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,VisionAI,2022-09-01,,CST-0041
SUP-0122,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,CloudSync,2021-06-05,,CST-0042
SUP-0123,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,CloudSync,2023-10-05,,CST-0042
SUP-0124,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,CloudSync,2023-11-02,,CST-0043
SUP-0125,The search filter in NovaCommerce is returning incorrect inventory counts.,Open,CloudSync,2025-10-12,,CST-0043
SUP-0126,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Open,CloudSync,2025-12-14,,CST-0043
SUP-0127,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,CloudSync,2023-01-24,,CST-0043
SUP-0128,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,AtlasPay,2021-05-25,,CST-0044
SUP-0129,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,AtlasPay,2025-03-29,,CST-0044
SUP-0130,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,AtlasPay,2022-09-09,,CST-0044
SUP-0131,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,AtlasPay,2021-06-25,,CST-0044
SUP-0132,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,VisionAI,2022-06-14,,CST-0045
SUP-0133,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,VisionAI,2024-10-21,,CST-0045
SUP-0134,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,FusionERP,2021-12-05,,CST-0046
SUP-0135,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,FusionERP,2025-03-08,,CST-0046
SUP-0136,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,CloudSync,2024-01-31,,CST-0046
SUP-0137,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,CloudSync,2025-10-02,,CST-0046
SUP-0138,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,CloudSync,2024-06-16,,CST-0046
SUP-0139,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,AtlasPay,2023-12-27,,CST-0047
SUP-0140,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,AtlasPay,2025-09-09,,CST-0047
SUP-0141,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,VisionAI,2024-09-28,,CST-0047
SUP-0142,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,AtlasPay,2022-06-13,,CST-0047
SUP-0143,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,FusionERP,2024-12-29,,CST-0048
SUP-0144,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,NovaCommerce,2023-02-26,,CST-0048
SUP-0145,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,FusionERP,2021-10-30,,CST-0048
SUP-0146,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Open,AtlasPay,2021-09-07,,CST-0049
SUP-0147,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,FusionERP,2023-09-08,,CST-0049
SUP-0148,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,AtlasPay,2025-07-08,,CST-0049
SUP-0149,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,AtlasPay,2021-10-02,,CST-0049
SUP-0150,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,NovaCommerce,2021-08-02,,CST-0050
SUP-0151,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,NovaCommerce,2023-02-16,,CST-0050
SUP-0152,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,VisionAI,2024-09-17,,CST-0050
SUP-0153,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,InsightCRM,2021-11-29,,CST-0051
SUP-0154,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,InsightCRM,2024-08-29,,CST-0051
SUP-0155,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,InsightCRM,2022-05-21,,CST-0051
SUP-0156,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,InsightCRM,2025-01-05,,CST-0051
SUP-0157,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,InsightCRM,2021-10-19,,CST-0051
SUP-0158,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Open,AtlasPay,2021-01-17,,CST-0052
SUP-0159,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,InsightCRM,2022-08-08,,CST-0053
SUP-0160,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,CloudSync,2025-05-11,,CST-0053
SUP-0161,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,InsightCRM,2022-01-15,,CST-0053
SUP-0162,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,CloudSync,2025-07-31,,CST-0053
SUP-0163,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,NovaCommerce,2025-08-27,,CST-0054
SUP-0164,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,NovaCommerce,2024-04-26,,CST-0054
SUP-0165,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,NovaCommerce,2022-09-07,,CST-0054
SUP-0166,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,NovaCommerce,2025-02-10,,CST-0054
SUP-0167,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,NovaCommerce,2022-12-19,,CST-0054
SUP-0168,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,NovaCommerce,2022-11-27,,CST-0055
SUP-0169,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,CloudSync,2025-09-06,,CST-0055
SUP-0170,System Error: Out of memory (OOM) crash in insightcrm-ui pod during batch processing affecting our operations.,Closed,InsightCRM,2021-07-25,INC-0169,CST-0056
SUP-0171,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,FusionERP,2023-04-30,,CST-0056
SUP-0172,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,AtlasPay,2022-11-17,,CST-0056
SUP-0173,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,NovaCommerce,2023-11-24,,CST-0057
SUP-0174,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,InsightCRM,2025-04-24,,CST-0057
SUP-0175,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,VisionAI,2025-12-04,,CST-0057
SUP-0176,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,NovaCommerce,2022-07-31,,CST-0057
SUP-0177,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,InsightCRM,2024-09-08,,CST-0057
SUP-0178,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,VisionAI,2022-03-20,,CST-0058
SUP-0179,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,AtlasPay,2021-12-14,,CST-0058
SUP-0180,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Open,AtlasPay,2025-09-18,,CST-0058
SUP-0181,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,VisionAI,2025-05-06,,CST-0058
SUP-0182,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,VisionAI,2022-07-25,,CST-0058
SUP-0183,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,FusionERP,2021-05-21,,CST-0059
SUP-0184,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Open,FusionERP,2024-11-22,,CST-0059
SUP-0185,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,FusionERP,2023-12-20,,CST-0059
SUP-0186,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,FusionERP,2021-09-08,,CST-0059
SUP-0187,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,FusionERP,2024-05-26,,CST-0059
SUP-0188,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,FusionERP,2021-09-06,,CST-0060
SUP-0189,Can you support Webhooks for AtlasPay transaction status changes? Polling is too slow.,Closed,FusionERP,2022-08-13,,CST-0060
SUP-0190,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,FusionERP,2024-08-28,,CST-0061
SUP-0191,The search filter in NovaCommerce is returning incorrect inventory counts.,Open,FusionERP,2021-06-06,,CST-0061
SUP-0192,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,VisionAI,2021-01-16,,CST-0061
SUP-0193,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,VisionAI,2021-08-09,,CST-0061
SUP-0194,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,VisionAI,2023-11-11,,CST-0061
SUP-0195,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,AtlasPay,2023-12-11,,CST-0062
SUP-0196,The search filter in NovaCommerce is returning incorrect inventory counts.,Closed,AtlasPay,2023-03-03,,CST-0062
SUP-0197,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,AtlasPay,2025-05-01,,CST-0062
SUP-0198,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,InsightCRM,2022-12-28,,CST-0062
SUP-0199,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,AtlasPay,2023-03-04,,CST-0062
SUP-0200,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,FusionERP,2023-07-04,,CST-0063
SUP-0201,ERP payroll calculation failed to generate invoices. This is a critical regulatory blocker.,Closed,NovaCommerce,2025-05-20,,CST-0063
SUP-0202,"Session keeps expiring every 15 minutes, forcing our staff to log in repeatedly. Extremely frustrating.",Closed,FusionERP,2021-07-07,,CST-0064
SUP-0203,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,FusionERP,2021-10-29,,CST-0064
SUP-0204,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,FusionERP,2023-10-03,,CST-0064
SUP-0205,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,VisionAI,2024-02-24,,CST-0064
SUP-0206,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,NovaCommerce,2022-05-20,,CST-0064
SUP-0207,The CRM portal page load is taking over 10 seconds. Our sales reps are complaining.,Closed,VisionAI,2024-01-03,,CST-0065
SUP-0208,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,VisionAI,2024-05-14,,CST-0065
SUP-0209,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,VisionAI,2025-06-24,,CST-0065
SUP-0210,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,VisionAI,2025-03-08,,CST-0065
SUP-0211,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,VisionAI,2022-01-10,,CST-0065
SUP-0212,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,FusionERP,2025-12-27,,CST-0066
SUP-0213,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,VisionAI,2022-02-01,,CST-0067
SUP-0214,"We need an API endpoint to download raw metrics from VisionAI; currently, we can only view them in the dashboard.",Closed,VisionAI,2024-08-10,,CST-0068
SUP-0215,The search filter in NovaCommerce is returning incorrect inventory counts.,Open,VisionAI,2021-09-22,,CST-0068
SUP-0216,Cannot process payments due to gateway timeout errors. This is blocking our checkout.,Closed,VisionAI,2022-04-10,,CST-0068
SUP-0217,Sync tool fails with conflict errors for large files. We are losing progress on changes.,Closed,FusionERP,2023-02-22,,CST-0068
