ticket_id,type,title,status,description,project,owner,adr,sprint,priority,dependencies,created_date,resolved_date
VI13-1,Epic,Epic: Implement Memcached cache layer for visionai-inference,Done,Implementation of decision in ADR-0007. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-014,EMP-057,ADR-0007,Sprint-2021-W04,Low,[],2021-02-04,2021-03-06
VI13-2,Story,Implement Memcached backend service in visionai-inference,Done,Tasks to fulfill architectural decision ADR-0007. Focus on: Implement Memcached as a distributed caching layer for visionai-inference endpoints.,PRJ-014,EMP-224,ADR-0007,Sprint-2021-W04,Low,"[""VI13-1""]",2021-02-05,2021-02-11
VI13-3,Task,Configure deployment pipelines for Memcached on visionai-inference,Done,Tasks to fulfill architectural decision ADR-0007. Focus on: Implement Memcached as a distributed caching layer for visionai-inference endpoints.,PRJ-014,EMP-161,ADR-0007,Sprint-2021-W04,Low,"[""VI13-1""]",2021-02-05,2021-02-16
FP17-1,Epic,Epic: Adopt MongoDB for fusionerp-payroll database storage,Done,"Implementation of decision in ADR-0008. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-018,EMP-114,ADR-0008,Sprint-2021-W04,Medium,[],2021-02-06,2021-03-08
FP17-2,Story,Implement MongoDB backend service in fusionerp-payroll,Done,Tasks to fulfill architectural decision ADR-0008. Focus on: Migrate the primary storage of fusionerp-payroll to MongoDB to leverage its native scaling and high availability features.,PRJ-018,EMP-215,ADR-0008,Sprint-2021-W04,Medium,"[""FP17-1""]",2021-02-10,2021-02-15
FP17-3,Task,Configure deployment pipelines for MongoDB on fusionerp-payroll,Done,Tasks to fulfill architectural decision ADR-0008. Focus on: Migrate the primary storage of fusionerp-payroll to MongoDB to leverage its native scaling and high availability features.,PRJ-018,EMP-219,ADR-0008,Sprint-2021-W04,Medium,"[""FP17-1""]",2021-02-10,2021-02-24
FP17-4,Task,Configure deployment pipelines for MongoDB on fusionerp-payroll,Done,Tasks to fulfill architectural decision ADR-0008. Focus on: Migrate the primary storage of fusionerp-payroll to MongoDB to leverage its native scaling and high availability features.,PRJ-018,EMP-149,ADR-0008,Sprint-2021-W04,Medium,"[""FP17-1""]",2021-02-11,2021-02-19
FC16-1,Spike,Spike: Evaluate options for Introduce AWS SQS,Done,"Research spiked for Introduce AWS SQS for decoupled communications in fusionerp-core. Alternatives considered: 1. Keep synchronous REST APIs but increase timeouts and retry limits.
2. Introduce an HTTP webhook callback system.
3. Deploy AWS SQS as a centralized event broker.",PRJ-017,EMP-235,ADR-0009,Sprint-2021-W04,Medium,[],2021-01-25,2021-02-07
FC16-2,Epic,Epic: Introduce AWS SQS for decoupled communications in fusionerp-core,Done,Implementation of decision in ADR-0009. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-017,EMP-077,ADR-0009,Sprint-2021-W04,Medium,[],2021-02-07,2021-03-09
FC16-3,Story,Implement AWS SQS backend service in fusionerp-core,Done,"Tasks to fulfill architectural decision ADR-0009. Focus on: Integrate AWS SQS to enable asynchronous, event-driven communication between fusionerp-core and downstream microservices.",PRJ-017,EMP-037,ADR-0009,Sprint-2021-W04,Medium,"[""FC16-2""]",2021-02-08,2021-02-14
FC16-4,Task,Configure deployment pipelines for AWS SQS on fusionerp-core,Done,"Tasks to fulfill architectural decision ADR-0009. Focus on: Integrate AWS SQS to enable asynchronous, event-driven communication between fusionerp-core and downstream microservices.",PRJ-017,EMP-014,ADR-0009,Sprint-2021-W04,Medium,"[""FC16-2""]",2021-02-09,2021-02-14
FC16-5,Task,Configure deployment pipelines for AWS SQS on fusionerp-core,Done,"Tasks to fulfill architectural decision ADR-0009. Focus on: Integrate AWS SQS to enable asynchronous, event-driven communication between fusionerp-core and downstream microservices.",PRJ-017,EMP-069,ADR-0009,Sprint-2021-W04,Medium,"[""FC16-2""]",2021-02-09,2021-02-14
CD10-1,Epic,Epic: Introduce AWS SQS for decoupled communications in cloudsync-daemon,Done,Implementation of decision in ADR-0010. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-011,EMP-077,ADR-0010,Sprint-2021-W04,High,[],2021-02-09,2021-03-11
CD10-2,Story,Implement AWS SQS backend service in cloudsync-daemon,Done,"Tasks to fulfill architectural decision ADR-0010. Focus on: Integrate AWS SQS to enable asynchronous, event-driven communication between cloudsync-daemon and downstream microservices.",PRJ-011,EMP-144,ADR-0010,Sprint-2021-W04,High,"[""CD10-1""]",2021-02-12,2021-02-17
CD10-3,Task,Configure deployment pipelines for AWS SQS on cloudsync-daemon,Done,"Tasks to fulfill architectural decision ADR-0010. Focus on: Integrate AWS SQS to enable asynchronous, event-driven communication between cloudsync-daemon and downstream microservices.",PRJ-011,EMP-218,ADR-0010,Sprint-2021-W04,High,"[""CD10-1""]",2021-02-13,2021-02-17
CD10-4,Task,Configure deployment pipelines for AWS SQS on cloudsync-daemon,Done,"Tasks to fulfill architectural decision ADR-0010. Focus on: Integrate AWS SQS to enable asynchronous, event-driven communication between cloudsync-daemon and downstream microservices.",PRJ-011,EMP-218,ADR-0010,Sprint-2021-W04,High,"[""CD10-1""]",2021-02-12,2021-02-19
VI13-4,Epic,Epic: Adopt PostgreSQL for visionai-inference database storage,Done,"Implementation of decision in ADR-0011. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-014,EMP-151,ADR-0011,Sprint-2021-W06,Medium,[],2021-02-22,2021-03-24
VI13-5,Story,Implement PostgreSQL backend service in visionai-inference,Done,Tasks to fulfill architectural decision ADR-0011. Focus on: Migrate the primary storage of visionai-inference to PostgreSQL to leverage its native scaling and high availability features.,PRJ-014,EMP-078,ADR-0011,Sprint-2021-W06,Medium,"[""VI13-4""]",2021-02-26,2021-03-08
VI13-6,Task,Configure deployment pipelines for PostgreSQL on visionai-inference,Done,Tasks to fulfill architectural decision ADR-0011. Focus on: Migrate the primary storage of visionai-inference to PostgreSQL to leverage its native scaling and high availability features.,PRJ-014,EMP-034,ADR-0011,Sprint-2021-W06,Medium,"[""VI13-4""]",2021-02-25,2021-03-10
VI13-7,Task,Configure deployment pipelines for PostgreSQL on visionai-inference,Done,Tasks to fulfill architectural decision ADR-0011. Focus on: Migrate the primary storage of visionai-inference to PostgreSQL to leverage its native scaling and high availability features.,PRJ-014,EMP-183,ADR-0011,Sprint-2021-W06,Medium,"[""VI13-4""]",2021-02-24,2021-03-07
CS11-1,Spike,Spike: Evaluate options for Adopt Cassandra,Done,"Research spiked for Adopt Cassandra for cloudsync-storage database storage. Alternatives considered: 1. Scale vertical resources on existing systems.
2. Implement a distributed cache layer (e.g. Redis) as a buffer.
3. Migrate to a multi-master distributed DB like Cassandra.",PRJ-012,EMP-137,ADR-0012,Sprint-2021-W08,Low,[],2021-02-12,2021-02-27
CS11-2,Epic,Epic: Adopt Cassandra for cloudsync-storage database storage,In Progress,"Implementation of decision in ADR-0012. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-012,EMP-105,ADR-0012,Sprint-2021-W08,Low,[],2021-02-27,2021-03-29
CS11-3,Story,Implement Cassandra backend service in cloudsync-storage,Open,Tasks to fulfill architectural decision ADR-0012. Focus on: Migrate the primary storage of cloudsync-storage to Cassandra to leverage its native scaling and high availability features.,PRJ-012,EMP-085,ADR-0012,Sprint-2021-W08,Low,"[""CS11-2""]",2021-03-02,
CS11-4,Task,Configure deployment pipelines for Cassandra on cloudsync-storage,Open,Tasks to fulfill architectural decision ADR-0012. Focus on: Migrate the primary storage of cloudsync-storage to Cassandra to leverage its native scaling and high availability features.,PRJ-012,EMP-218,ADR-0012,Sprint-2021-W08,Low,"[""CS11-2""]",2021-03-04,
CS11-5,Task,Configure deployment pipelines for Cassandra on cloudsync-storage,Open,Tasks to fulfill architectural decision ADR-0012. Focus on: Migrate the primary storage of cloudsync-storage to Cassandra to leverage its native scaling and high availability features.,PRJ-012,EMP-206,ADR-0012,Sprint-2021-W08,Low,"[""CS11-2""]",2021-03-01,
PL20-1,Epic,Epic: Adopt Cassandra for platform-logging database storage,Done,"Implementation of decision in ADR-0013. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-021,EMP-178,ADR-0013,Sprint-2021-W08,Medium,[],2021-02-28,2021-03-30
PL20-2,Story,Implement Cassandra backend service in platform-logging,Done,Tasks to fulfill architectural decision ADR-0013. Focus on: Migrate the primary storage of platform-logging to Cassandra to leverage its native scaling and high availability features.,PRJ-021,EMP-026,ADR-0013,Sprint-2021-W08,Medium,"[""PL20-1""]",2021-03-05,2021-03-11
PL20-3,Task,Configure deployment pipelines for Cassandra on platform-logging,Done,Tasks to fulfill architectural decision ADR-0013. Focus on: Migrate the primary storage of platform-logging to Cassandra to leverage its native scaling and high availability features.,PRJ-021,EMP-099,ADR-0013,Sprint-2021-W08,Medium,"[""PL20-1""]",2021-03-03,2021-03-07
NC2-1,Spike,Spike: Evaluate options for Introduce AWS SQS,Done,"Research spiked for Introduce AWS SQS for decoupled communications in novacommerce-cart. Alternatives considered: 1. Keep synchronous REST APIs but increase timeouts and retry limits.
2. Introduce an HTTP webhook callback system.
3. Deploy AWS SQS as a centralized event broker.",PRJ-003,EMP-199,ADR-0014,Sprint-2021-W08,Medium,[],2021-02-14,2021-03-01
NC2-2,Epic,Epic: Introduce AWS SQS for decoupled communications in novacommerce-cart,Done,Implementation of decision in ADR-0014. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-003,EMP-158,ADR-0014,Sprint-2021-W08,Medium,[],2021-03-01,2021-03-31
NC2-3,Story,Implement AWS SQS backend service in novacommerce-cart,Done,"Tasks to fulfill architectural decision ADR-0014. Focus on: Integrate AWS SQS to enable asynchronous, event-driven communication between novacommerce-cart and downstream microservices.",PRJ-003,EMP-096,ADR-0014,Sprint-2021-W08,Medium,"[""NC2-2""]",2021-03-02,2021-03-10
NC3-1,Epic,Epic: Adopt MySQL for novacommerce-checkout database storage,Done,"Implementation of decision in ADR-0015. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-004,EMP-136,ADR-0015,Sprint-2021-W08,High,[],2021-03-01,2021-03-31
NC3-2,Story,Implement MySQL backend service in novacommerce-checkout,Done,Tasks to fulfill architectural decision ADR-0015. Focus on: Migrate the primary storage of novacommerce-checkout to MySQL to leverage its native scaling and high availability features.,PRJ-004,EMP-039,ADR-0015,Sprint-2021-W08,High,"[""NC3-1""]",2021-03-03,2021-03-10
NC3-3,Task,Configure deployment pipelines for MySQL on novacommerce-checkout,Done,Tasks to fulfill architectural decision ADR-0015. Focus on: Migrate the primary storage of novacommerce-checkout to MySQL to leverage its native scaling and high availability features.,PRJ-004,EMP-010,ADR-0015,Sprint-2021-W08,High,"[""NC3-1""]",2021-03-02,2021-03-11
AG4-1,Epic,Epic: Introduce NATS for decoupled communications in atlaspay-gateway,Done,Implementation of decision in ADR-0016. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-005,EMP-082,ADR-0016,Sprint-2021-W08,High,[],2021-03-02,2021-04-01
AG4-2,Story,Implement NATS backend service in atlaspay-gateway,Done,"Tasks to fulfill architectural decision ADR-0016. Focus on: Integrate NATS to enable asynchronous, event-driven communication between atlaspay-gateway and downstream microservices.",PRJ-005,EMP-083,ADR-0016,Sprint-2021-W08,High,"[""AG4-1""]",2021-03-03,2021-03-08
AG4-3,Task,Configure deployment pipelines for NATS on atlaspay-gateway,Done,"Tasks to fulfill architectural decision ADR-0016. Focus on: Integrate NATS to enable asynchronous, event-driven communication between atlaspay-gateway and downstream microservices.",PRJ-005,EMP-135,ADR-0016,Sprint-2021-W08,High,"[""AG4-1""]",2021-03-07,2021-03-17
NU1-1,Spike,Spike: Evaluate options for Introduce Kafka,Done,"Research spiked for Introduce Kafka for decoupled communications in novacommerce-ui. Alternatives considered: 1. Keep synchronous REST APIs but increase timeouts and retry limits.
2. Introduce an HTTP webhook callback system.
3. Deploy Kafka as a centralized event broker.",PRJ-002,EMP-115,ADR-0017,Sprint-2021-W08,High,[],2021-02-25,2021-03-07
NU1-2,Epic,Epic: Introduce Kafka for decoupled communications in novacommerce-ui,Done,Implementation of decision in ADR-0017. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-002,EMP-114,ADR-0017,Sprint-2021-W08,High,[],2021-03-07,2021-04-06
NU1-3,Story,Implement Kafka backend service in novacommerce-ui,Done,"Tasks to fulfill architectural decision ADR-0017. Focus on: Integrate Kafka to enable asynchronous, event-driven communication between novacommerce-ui and downstream microservices.",PRJ-002,EMP-087,ADR-0017,Sprint-2021-W08,High,"[""NU1-2""]",2021-03-12,2021-03-16
NU1-4,Task,Configure deployment pipelines for Kafka on novacommerce-ui,Done,"Tasks to fulfill architectural decision ADR-0017. Focus on: Integrate Kafka to enable asynchronous, event-driven communication between novacommerce-ui and downstream microservices.",PRJ-002,EMP-015,ADR-0017,Sprint-2021-W08,High,"[""NU1-2""]",2021-03-09,2021-03-17
NU1-5,Task,Configure deployment pipelines for Kafka on novacommerce-ui,Done,"Tasks to fulfill architectural decision ADR-0017. Focus on: Integrate Kafka to enable asynchronous, event-driven communication between novacommerce-ui and downstream microservices.",PRJ-002,EMP-087,ADR-0017,Sprint-2021-W08,High,"[""NU1-2""]",2021-03-09,2021-03-17
VP15-1,Epic,Epic: Migrate visionai-pipeline frontend architecture to Angular,Done,Implementation of decision in ADR-0018. Expected benefits: First Contentful Paint (FCP) improved from 4s to 1.2s; developer velocity increased.,PRJ-016,EMP-155,ADR-0018,Sprint-2021-W08,Medium,[],2021-03-10,2021-04-09
VP15-2,Story,Implement Angular backend service in visionai-pipeline,Done,Tasks to fulfill architectural decision ADR-0018. Focus on: Rebuild and migrate the UI for visionai-pipeline to Angular.,PRJ-016,EMP-233,ADR-0018,Sprint-2021-W08,Medium,"[""VP15-1""]",2021-03-12,2021-03-19
VP15-3,Task,Configure deployment pipelines for Angular on visionai-pipeline,Done,Tasks to fulfill architectural decision ADR-0018. Focus on: Rebuild and migrate the UI for visionai-pipeline to Angular.,PRJ-016,EMP-020,ADR-0018,Sprint-2021-W08,Medium,"[""VP15-1""]",2021-03-15,2021-03-29
SS23-5,Epic,Epic: Adopt MongoDB for security-scanner database storage,Done,"Implementation of decision in ADR-0019. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-024,EMP-054,ADR-0019,Sprint-2021-W10,Low,[],2021-03-19,2021-04-18
SS23-6,Story,Implement MongoDB backend service in security-scanner,Done,Tasks to fulfill architectural decision ADR-0019. Focus on: Migrate the primary storage of security-scanner to MongoDB to leverage its native scaling and high availability features.,PRJ-024,EMP-102,ADR-0019,Sprint-2021-W10,Low,"[""SS23-5""]",2021-03-21,2021-03-30
SS23-7,Task,Configure deployment pipelines for MongoDB on security-scanner,Done,Tasks to fulfill architectural decision ADR-0019. Focus on: Migrate the primary storage of security-scanner to MongoDB to leverage its native scaling and high availability features.,PRJ-024,EMP-117,ADR-0019,Sprint-2021-W10,Low,"[""SS23-5""]",2021-03-20,2021-04-03
SS23-8,Task,Configure deployment pipelines for MongoDB on security-scanner,Done,Tasks to fulfill architectural decision ADR-0019. Focus on: Migrate the primary storage of security-scanner to MongoDB to leverage its native scaling and high availability features.,PRJ-024,EMP-152,ADR-0019,Sprint-2021-W10,Low,"[""SS23-5""]",2021-03-21,2021-04-03
PM21-6,Spike,Spike: Evaluate options for Adopt Cassandra,Done,"Research spiked for Adopt Cassandra for platform-monitoring database storage. Alternatives considered: 1. Scale vertical resources on existing systems.
2. Implement a distributed cache layer (e.g. Redis) as a buffer.
3. Migrate to a multi-master distributed DB like Cassandra.",PRJ-022,EMP-175,ADR-0020,Sprint-2021-W10,Medium,[],2021-03-11,2021-03-23
PM21-7,Epic,Epic: Adopt Cassandra for platform-monitoring database storage,Done,"Implementation of decision in ADR-0020. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-022,EMP-064,ADR-0020,Sprint-2021-W10,Medium,[],2021-03-23,2021-04-22
PM21-8,Story,Implement Cassandra backend service in platform-monitoring,Done,Tasks to fulfill architectural decision ADR-0020. Focus on: Migrate the primary storage of platform-monitoring to Cassandra to leverage its native scaling and high availability features.,PRJ-022,EMP-157,ADR-0020,Sprint-2021-W10,Medium,"[""PM21-7""]",2021-03-27,2021-04-07
PM21-9,Task,Configure deployment pipelines for Cassandra on platform-monitoring,Done,Tasks to fulfill architectural decision ADR-0020. Focus on: Migrate the primary storage of platform-monitoring to Cassandra to leverage its native scaling and high availability features.,PRJ-022,EMP-137,ADR-0020,Sprint-2021-W10,Medium,"[""PM21-7""]",2021-03-26,2021-04-04
FP17-5,Epic,Epic: Implement Memcached cache layer for fusionerp-payroll,Done,Implementation of decision in ADR-0021. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-018,EMP-082,ADR-0021,Sprint-2021-W12,High,[],2021-04-05,2021-05-05
FP17-6,Story,Implement Memcached backend service in fusionerp-payroll,Done,Tasks to fulfill architectural decision ADR-0021. Focus on: Implement Memcached as a distributed caching layer for fusionerp-payroll endpoints.,PRJ-018,EMP-220,ADR-0021,Sprint-2021-W12,High,"[""FP17-5""]",2021-04-06,2021-04-13
FP17-7,Task,Configure deployment pipelines for Memcached on fusionerp-payroll,Done,Tasks to fulfill architectural decision ADR-0021. Focus on: Implement Memcached as a distributed caching layer for fusionerp-payroll endpoints.,PRJ-018,EMP-182,ADR-0021,Sprint-2021-W12,High,"[""FP17-5""]",2021-04-08,2021-04-12
SS23-9,Spike,Spike: Evaluate options for Introduce Kafka,Done,"Research spiked for Introduce Kafka for decoupled communications in security-scanner. Alternatives considered: 1. Keep synchronous REST APIs but increase timeouts and retry limits.
2. Introduce an HTTP webhook callback system.
3. Deploy Kafka as a centralized event broker.",PRJ-024,EMP-016,ADR-0022,Sprint-2021-W12,Medium,[],2021-03-30,2021-04-05
SS23-10,Epic,Epic: Introduce Kafka for decoupled communications in security-scanner,Done,Implementation of decision in ADR-0022. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-024,EMP-092,ADR-0022,Sprint-2021-W12,Medium,[],2021-04-05,2021-05-05
SS23-11,Story,Implement Kafka backend service in security-scanner,Done,"Tasks to fulfill architectural decision ADR-0022. Focus on: Integrate Kafka to enable asynchronous, event-driven communication between security-scanner and downstream microservices.",PRJ-024,EMP-109,ADR-0022,Sprint-2021-W12,Medium,"[""SS23-10""]",2021-04-10,2021-04-13
PL20-4,Epic,Epic: Implement Memcached cache layer for platform-logging,Done,Implementation of decision in ADR-0023. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-021,EMP-044,ADR-0023,Sprint-2021-W14,Low,[],2021-04-13,2021-05-13
PL20-5,Story,Implement Memcached backend service in platform-logging,Done,Tasks to fulfill architectural decision ADR-0023. Focus on: Implement Memcached as a distributed caching layer for platform-logging endpoints.,PRJ-021,EMP-137,ADR-0023,Sprint-2021-W14,Low,"[""PL20-4""]",2021-04-18,2021-04-28
PL20-6,Task,Configure deployment pipelines for Memcached on platform-logging,Done,Tasks to fulfill architectural decision ADR-0023. Focus on: Implement Memcached as a distributed caching layer for platform-logging endpoints.,PRJ-021,EMP-026,ADR-0023,Sprint-2021-W14,Low,"[""PL20-4""]",2021-04-17,2021-04-30
PL20-7,Task,Configure deployment pipelines for Memcached on platform-logging,Done,Tasks to fulfill architectural decision ADR-0023. Focus on: Implement Memcached as a distributed caching layer for platform-logging endpoints.,PRJ-021,EMP-235,ADR-0023,Sprint-2021-W14,Low,"[""PL20-4""]",2021-04-15,2021-04-25
VT14-1,Spike,Spike: Evaluate options for Adopt MySQL,Done,"Research spiked for Adopt MySQL for visionai-training database storage. Alternatives considered: 1. Scale vertical resources on existing systems.
2. Implement a distributed cache layer (e.g. Redis) as a buffer.
3. Migrate to a multi-master distributed DB like MySQL.",PRJ-015,EMP-193,ADR-0024,Sprint-2021-W14,Low,[],2021-03-31,2021-04-15
VT14-2,Epic,Epic: Adopt MySQL for visionai-training database storage,Done,"Implementation of decision in ADR-0024. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-015,EMP-049,ADR-0024,Sprint-2021-W14,Low,[],2021-04-15,2021-05-15
VT14-3,Story,Implement MySQL backend service in visionai-training,Done,Tasks to fulfill architectural decision ADR-0024. Focus on: Migrate the primary storage of visionai-training to MySQL to leverage its native scaling and high availability features.,PRJ-015,EMP-024,ADR-0024,Sprint-2021-W14,Low,"[""VT14-2""]",2021-04-20,2021-04-26
VT14-4,Task,Configure deployment pipelines for MySQL on visionai-training,Done,Tasks to fulfill architectural decision ADR-0024. Focus on: Migrate the primary storage of visionai-training to MySQL to leverage its native scaling and high availability features.,PRJ-015,EMP-024,ADR-0024,Sprint-2021-W14,Low,"[""VT14-2""]",2021-04-19,2021-05-03
