incident_id,cause,root_cause,severity,timeline,resolution,linked_deployment,linked_pr,linked_adr,lessons_learned
INC-0011,Database connection pool exhaustion on atlaspay-ledger,"The service connection pool size was set to 20, but under heavy concurrent traffic, queries blocked on PostgreSQL, causing requests to queue up and exhaust all worker threads. The health check endpoint also blocked, leading Kubernetes to restart pods in a loop.",P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-29 07:28:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-29 07:38:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-01-29 08:50:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-29 12:35:00""}]",Applied mitigation at 08:50:00 by rolling back production deployment DEP-0023 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0023,PR-0007,ADR-0001,"We must decoupled health check endpoints from primary database checks (make them shallow), increase connection pool limits, and implement rate limiting on expensive endpoints."
INC-0012,Message lag spike on Kafka partition for insightcrm-api,"A slow consumer thread due to synchronous downstream HTTP calls. As partition size grew, processing fell behind by over 50,000 messages, delaying order processing in NovaCommerce.",P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-30 08:44:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-30 08:46:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-01-30 09:42:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-30 11:54:00""}]",Applied mitigation at 09:42:00 by rolling back production deployment DEP-0025 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0025,PR-0016,ADR-0005,"Implement worker pool concurrency in consumer code, wrap calls in circuit breakers, and monitor consumer lag metrics to trigger auto-scaling."
INC-0013,Cache stampede in security-auth-proxy for metadata queries,"An eviction of high-frequency metadata cache keys in Redis occurred concurrently with a traffic spike. Thousands of pods hit the underlying database at once to re-fetch the metadata, locking tables.",P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-01-31 18:07:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-01-31 18:11:00""}, {""event"": ""Mitigation Applied - Rolled back deployment"", ""timestamp"": ""2021-01-31 19:01:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-01-31 21:19:00""}]",Applied mitigation at 19:01:00 by rolling back production deployment DEP-0027 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0027,PR-0019,ADR-0006,Implement cache key locking/mutexes (single-flight pattern) so only one request updates the cache while others wait. Add jitter to cache TTLs.
INC-0014,Database connection pool exhaustion on cloudsync-storage,"The service connection pool size was set to 20, but under heavy concurrent traffic, queries blocked on Cassandra, causing requests to queue up and exhaust all worker threads. The health check endpoint also blocked, leading Kubernetes to restart pods in a loop.",P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-03 11:59:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-03 12:06:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-02-03 13:24:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-03 16:12:00""}]",Applied mitigation at 13:24:00 by rolling back production deployment DEP-0029 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0029,PR-0021,,"We must decoupled health check endpoints from primary database checks (make them shallow), increase connection pool limits, and implement rate limiting on expensive endpoints."
INC-0015,Routing loop in Istio service mesh for platform-monitoring,A misconfigured VirtualService manifest in Terraform caused traffic to cycle between the canary deployment and the main service. Latency spiked and error rates reached 100% due to maximum hop recursion.,P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-05 11:07:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-05 11:12:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-02-05 12:09:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-05 14:42:00""}]",Applied mitigation at 12:09:00 by rolling back production deployment DEP-0031 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0031,PR-0015,ADR-0003,Add deployment linting checks for mesh configurations. Implement dry-run verification steps in CI/CD pipeline before applying mesh routes.
INC-0016,Routing loop in Istio service mesh for insightcrm-api,A misconfigured VirtualService manifest in Terraform caused traffic to cycle between the canary deployment and the main service. Latency spiked and error rates reached 100% due to maximum hop recursion.,P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-05 14:04:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-05 14:13:00""}, {""event"": ""Mitigation Applied - Rolled back deployment"", ""timestamp"": ""2021-02-05 14:55:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-05 17:14:00""}]",Applied mitigation at 14:55:00 by rolling back production deployment DEP-0035 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0035,PR-0026,ADR-0005,Add deployment linting checks for mesh configurations. Implement dry-run verification steps in CI/CD pipeline before applying mesh routes.
INC-0017,Cache stampede in insightcrm-api for metadata queries,"An eviction of high-frequency metadata cache keys in Redis occurred concurrently with a traffic spike. Thousands of pods hit the underlying database at once to re-fetch the metadata, locking tables.",P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-05 21:10:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-05 21:13:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-02-05 21:42:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-06 00:55:00""}]",Applied mitigation at 21:42:00 by rolling back production deployment DEP-0033 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0033,PR-0023,ADR-0005,Implement cache key locking/mutexes (single-flight pattern) so only one request updates the cache while others wait. Add jitter to cache TTLs.
INC-0018,Message lag spike on Kafka partition for fusionerp-core,"A slow consumer thread due to synchronous downstream HTTP calls. As partition size grew, processing fell behind by over 50,000 messages, delaying order processing in NovaCommerce.",P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-07 23:09:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-07 23:16:00""}, {""event"": ""Mitigation Applied - Rolled back deployment"", ""timestamp"": ""2021-02-08 00:42:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-08 03:01:00""}]",Applied mitigation at 00:42:00 by rolling back production deployment DEP-0037 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0037,PR-0017,ADR-0009,"Implement worker pool concurrency in consumer code, wrap calls in circuit breakers, and monitor consumer lag metrics to trigger auto-scaling."
INC-0019,Out of memory (OOM) crash in platform-monitoring pod during batch processing,A memory leak in the Go/Python worker loop processing batch uploads. The worker accumulated pointers in a global slice and did not trigger garbage collection timely. Pod reached K8s limit (2Gi) and got OOMKilled.,P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-08 19:23:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-08 19:34:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-02-08 21:02:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-08 23:41:00""}]",Applied mitigation at 21:02:00 by rolling back production deployment DEP-0039 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0039,PR-0020,ADR-0004,"Profile heap usage during batch tasks, reuse object buffers, and add strict memory limits to K8s configs with warnings at 80% usage."
INC-0020,Database connection pool exhaustion on visionai-inference,"The service connection pool size was set to 20, but under heavy concurrent traffic, queries blocked on database, causing requests to queue up and exhaust all worker threads. The health check endpoint also blocked, leading Kubernetes to restart pods in a loop.",P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-11 15:47:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-11 15:55:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-02-11 17:15:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-11 18:37:00""}]",Applied mitigation at 17:15:00 by rolling back production deployment DEP-0045 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0045,PR-0030,ADR-0007,"We must decoupled health check endpoints from primary database checks (make them shallow), increase connection pool limits, and implement rate limiting on expensive endpoints."
INC-0021,Out of memory (OOM) crash in security-auth-proxy pod during batch processing,A memory leak in the Go/Python worker loop processing batch uploads. The worker accumulated pointers in a global slice and did not trigger garbage collection timely. Pod reached K8s limit (512Mi) and got OOMKilled.,P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-11 15:55:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-11 15:58:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-02-11 17:22:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-11 20:45:00""}]",Applied mitigation at 17:22:00 by rolling back production deployment DEP-0043 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0043,PR-0027,ADR-0006,"Profile heap usage during batch tasks, reuse object buffers, and add strict memory limits to K8s configs with warnings at 80% usage."
INC-0022,Cache stampede in atlaspay-ledger for metadata queries,"An eviction of high-frequency metadata cache keys in Redis occurred concurrently with a traffic spike. Thousands of pods hit the underlying database at once to re-fetch the metadata, locking tables.",P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-11 17:47:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-11 17:55:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-02-11 18:28:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-11 22:20:00""}]",Applied mitigation at 18:28:00 by rolling back production deployment DEP-0041 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0041,PR-0006,ADR-0001,Implement cache key locking/mutexes (single-flight pattern) so only one request updates the cache while others wait. Add jitter to cache TTLs.
INC-0023,Unoptimized query on cloudsync-desktop database after release,A new feature did a sequential scan on a table containing 10M+ rows because the foreign key index was omitted in the migration script. CPU spiked to 100% and query latency went from 5ms to 8000ms.,P2,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-12 10:35:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-12 10:45:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-02-12 11:18:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-12 12:44:00""}]",Applied mitigation at 11:18:00 by rolling back production deployment DEP-0047 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0047,PR-0025,,Require explain-plan checks in CI/CD pipelines for any new migration files. Enforce indexing guidelines for foreign keys.
INC-0024,Database connection pool exhaustion on fusionerp-core,"The service connection pool size was set to 20, but under heavy concurrent traffic, queries blocked on Oracle, causing requests to queue up and exhaust all worker threads. The health check endpoint also blocked, leading Kubernetes to restart pods in a loop.",P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-14 05:00:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-14 05:11:00""}, {""event"": ""Mitigation Applied - Rolled back deployment"", ""timestamp"": ""2021-02-14 06:19:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-14 06:51:00""}]",Applied mitigation at 06:19:00 by rolling back production deployment DEP-0053 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0053,PR-0037,ADR-0009,"We must decoupled health check endpoints from primary database checks (make them shallow), increase connection pool limits, and implement rate limiting on expensive endpoints."
INC-0025,Cache stampede in fusionerp-core for metadata queries,"An eviction of high-frequency metadata cache keys in Redis occurred concurrently with a traffic spike. Thousands of pods hit the underlying database at once to re-fetch the metadata, locking tables.",P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-14 12:43:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-14 12:54:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-02-14 14:14:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-14 14:49:00""}]",Applied mitigation at 14:14:00 by rolling back production deployment DEP-0049 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0049,PR-0034,ADR-0009,Implement cache key locking/mutexes (single-flight pattern) so only one request updates the cache while others wait. Add jitter to cache TTLs.
INC-0026,Routing loop in Istio service mesh for fusionerp-core,A misconfigured VirtualService manifest in Terraform caused traffic to cycle between the canary deployment and the main service. Latency spiked and error rates reached 100% due to maximum hop recursion.,P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-15 00:45:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-15 00:49:00""}, {""event"": ""Mitigation Applied - Rolled back deployment"", ""timestamp"": ""2021-02-15 02:06:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-15 05:57:00""}]",Applied mitigation at 02:06:00 by rolling back production deployment DEP-0051 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0051,PR-0036,ADR-0009,Add deployment linting checks for mesh configurations. Implement dry-run verification steps in CI/CD pipeline before applying mesh routes.
INC-0027,Cache stampede in fusionerp-payroll for metadata queries,"An eviction of high-frequency metadata cache keys in Redis occurred concurrently with a traffic spike. Thousands of pods hit the underlying database at once to re-fetch the metadata, locking tables.",P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-15 06:43:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-15 06:56:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-02-15 08:13:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-15 10:03:00""}]",Applied mitigation at 08:13:00 by rolling back production deployment DEP-0055 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0055,PR-0028,,Implement cache key locking/mutexes (single-flight pattern) so only one request updates the cache while others wait. Add jitter to cache TTLs.
INC-0028,Message lag spike on Kafka partition for fusionerp-payroll,"A slow consumer thread due to synchronous downstream HTTP calls. As partition size grew, processing fell behind by over 50,000 messages, delaying order processing in NovaCommerce.",P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-15 12:13:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-15 12:16:00""}, {""event"": ""Mitigation Applied - Rolled back deployment"", ""timestamp"": ""2021-02-15 12:44:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-15 15:03:00""}]",Applied mitigation at 12:44:00 by rolling back production deployment DEP-0058 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0058,PR-0039,ADR-0008,"Implement worker pool concurrency in consumer code, wrap calls in circuit breakers, and monitor consumer lag metrics to trigger auto-scaling."
INC-0029,Out of memory (OOM) crash in visionai-inference pod during batch processing,A memory leak in the Go/Python worker loop processing batch uploads. The worker accumulated pointers in a global slice and did not trigger garbage collection timely. Pod reached K8s limit (512Mi) and got OOMKilled.,P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-16 06:11:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-16 06:24:00""}, {""event"": ""Mitigation Applied - Flushed cache"", ""timestamp"": ""2021-02-16 07:36:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-16 08:22:00""}]",Applied mitigation at 07:36:00 by rolling back production deployment DEP-0061 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0061,PR-0031,ADR-0007,"Profile heap usage during batch tasks, reuse object buffers, and add strict memory limits to K8s configs with warnings at 80% usage."
INC-0030,Out of memory (OOM) crash in fusionerp-core pod during batch processing,A memory leak in the Go/Python worker loop processing batch uploads. The worker accumulated pointers in a global slice and did not trigger garbage collection timely. Pod reached K8s limit (1Gi) and got OOMKilled.,P1,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-16 22:41:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-16 22:47:00""}, {""event"": ""Mitigation Applied - Increased pod count"", ""timestamp"": ""2021-02-16 23:58:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-17 02:21:00""}]",Applied mitigation at 23:58:00 by rolling back production deployment DEP-0063 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0063,PR-0040,,"Profile heap usage during batch tasks, reuse object buffers, and add strict memory limits to K8s configs with warnings at 80% usage."
INC-0031,Database connection pool exhaustion on security-scanner,"The service connection pool size was set to 20, but under heavy concurrent traffic, queries blocked on database, causing requests to queue up and exhaust all worker threads. The health check endpoint also blocked, leading Kubernetes to restart pods in a loop.",P0,"[{""event"": ""System Alert - Anomalous Metrics Detected"", ""timestamp"": ""2021-02-17 11:13:00""}, {""event"": ""On-call Engineer Acknowledged Alert"", ""timestamp"": ""2021-02-17 11:16:00""}, {""event"": ""Mitigation Applied - Rolled back deployment"", ""timestamp"": ""2021-02-17 12:11:00""}, {""event"": ""Incident Resolved - System metrics stabilized"", ""timestamp"": ""2021-02-17 15:18:00""}]",Applied mitigation at 12:11:00 by rolling back production deployment DEP-0066 or applying hotfix. Monitored CPU and error rates until they returned to baseline levels.,DEP-0066,PR-0009,ADR-0002,"We must decoupled health check endpoints from primary database checks (make them shallow), increase connection pool limits, and implement rate limiting on expensive endpoints."
