feedback_id,sprint,project_id,adr_id,employee_id,difficulty_rating,opinion,suggestion
FDB-00057,Sprint-2023-W48,PRJ-016,ADR-0249,EMP-048,4,Regarding ADR-0249 (Implement Memcached cache layer for visionai-pipeline): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0249.
FDB-00058,Sprint-2022-W18,PRJ-016,ADR-0263,EMP-183,4,Regarding ADR-0263 (Introduce RabbitMQ for decoupled communications in visionai-pipeline): We hit some performance hiccups under load on visionai-pipeline after applying this decision. We might need a follow-up architecture review.,Write better onboarding docs for ADR-0263.
FDB-00059,Sprint-2024-W39,PRJ-013,,EMP-185,3,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Refactor the billing module of cloudsync-desktop; it has too much technical debt.
FDB-00060,Sprint-2025-W39,PRJ-021,,EMP-075,2,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Set up an internal knowledge base detailing API interface contracts.
FDB-00061,Sprint-2023-W20,PRJ-004,,EMP-205,4,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Enforce standard code linter rules globally.
FDB-00062,Sprint-2023-W46,PRJ-019,,EMP-073,3,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Enforce standard code linter rules globally.
FDB-00063,Sprint-2022-W30,PRJ-005,,EMP-233,4,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Refactor the billing module of atlaspay-gateway; it has too much technical debt.
FDB-00064,Sprint-2024-W19,PRJ-001,,EMP-143,2,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Enforce standard code linter rules globally.
FDB-00065,Sprint-2023-W10,PRJ-011,,EMP-138,3,Redis caching solved our immediate API bottlenecks. Highly recommend rolling it out to other services.,Set up an internal knowledge base detailing API interface contracts.
FDB-00066,Sprint-2023-W30,PRJ-012,ADR-0035,EMP-248,4,Regarding ADR-0035 (Migrate cloudsync-storage frontend architecture to Vue.js): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0035.
FDB-00067,Sprint-2024-W29,PRJ-001,,EMP-040,3,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Provide sandbox credentials for local database testing.
FDB-00068,Sprint-2025-W09,PRJ-001,ADR-0457,EMP-037,3,Regarding ADR-0457 (Adopt MySQL for novacommerce-api database storage): The team found the design in ADR-0457 clean. It helped decouple our database calls nicely.,Write better onboarding docs for ADR-0457.
FDB-00069,Sprint-2022-W08,PRJ-020,,EMP-002,3,"Terraform configurations are clean, but applying them in dev environment is slow.",Enforce standard code linter rules globally.
FDB-00070,Sprint-2022-W48,PRJ-014,ADR-0067,EMP-138,3,Regarding ADR-0067 (Migrate visionai-inference frontend architecture to Vue.js): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0067.
FDB-00071,Sprint-2021-W46,PRJ-001,,EMP-122,2,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Provide sandbox credentials for local database testing.
FDB-00072,Sprint-2024-W07,PRJ-016,,EMP-024,2,"Terraform configurations are clean, but applying them in dev environment is slow.",Provide sandbox credentials for local database testing.
FDB-00073,Sprint-2022-W26,PRJ-015,,EMP-067,2,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Set up an internal knowledge base detailing API interface contracts.
FDB-00074,Sprint-2022-W44,PRJ-020,,EMP-196,3,"Terraform configurations are clean, but applying them in dev environment is slow.",Provide sandbox credentials for local database testing.
FDB-00075,Sprint-2025-W11,PRJ-003,,EMP-150,2,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Refactor the billing module of novacommerce-cart; it has too much technical debt.
FDB-00076,Sprint-2022-W34,PRJ-013,ADR-0092,EMP-076,2,Regarding ADR-0092 (Introduce Kafka for decoupled communications in cloudsync-desktop): The team found the design in ADR-0092 clean. It helped decouple our database calls nicely.,Write better onboarding docs for ADR-0092.
FDB-00077,Sprint-2023-W06,PRJ-018,,EMP-220,3,Using Kafka was a massive overkill for AtlasPay. We could have achieved the same results with PostgreSQL queues or simple SQS.,Refactor the billing module of fusionerp-payroll; it has too much technical debt.
FDB-00078,Sprint-2023-W02,PRJ-025,ADR-0357,EMP-042,2,Regarding ADR-0357 (Migrate devops-ci-cd frontend architecture to React / Next.js): We hit some performance hiccups under load on devops-ci-cd after applying this decision. We might need a follow-up architecture review.,Write better onboarding docs for ADR-0357.
FDB-00079,Sprint-2024-W29,PRJ-022,,EMP-172,2,The lack of documentation on our gRPC interfaces makes it difficult for new hires to build features.,Improve CI build times for platform-monitoring repository. Currently taking > 15 minutes.
FDB-00080,Sprint-2022-W28,PRJ-022,,EMP-110,1,Redis caching solved our immediate API bottlenecks. Highly recommend rolling it out to other services.,Provide sandbox credentials for local database testing.
FDB-00081,Sprint-2025-W13,PRJ-001,,EMP-053,4,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Set up an internal knowledge base detailing API interface contracts.
FDB-00082,Sprint-2022-W22,PRJ-006,,EMP-011,3,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Improve CI build times for atlaspay-ledger repository. Currently taking > 15 minutes.
FDB-00083,Sprint-2023-W36,PRJ-018,ADR-0289,EMP-183,2,Regarding ADR-0289 (Implement Memcached cache layer for fusionerp-payroll): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0289.
FDB-00084,Sprint-2025-W09,PRJ-019,,EMP-170,3,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Provide sandbox credentials for local database testing.
FDB-00085,Sprint-2022-W38,PRJ-025,,EMP-215,3,The lack of documentation on our gRPC interfaces makes it difficult for new hires to build features.,Improve CI build times for devops-ci-cd repository. Currently taking > 15 minutes.
FDB-00086,Sprint-2021-W42,PRJ-004,,EMP-215,3,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Set up an internal knowledge base detailing API interface contracts.
FDB-00087,Sprint-2024-W41,PRJ-014,,EMP-221,3,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Set up an internal knowledge base detailing API interface contracts.
FDB-00088,Sprint-2021-W04,PRJ-009,,EMP-174,2,The lack of documentation on our gRPC interfaces makes it difficult for new hires to build features.,Enforce standard code linter rules globally.
FDB-00089,Sprint-2024-W43,PRJ-010,,EMP-180,3,Using Kafka was a massive overkill for AtlasPay. We could have achieved the same results with PostgreSQL queues or simple SQS.,Refactor the billing module of insightcrm-analytics; it has too much technical debt.
FDB-00090,Sprint-2022-W04,PRJ-010,,EMP-191,3,"Terraform configurations are clean, but applying them in dev environment is slow.",Improve CI build times for insightcrm-analytics repository. Currently taking > 15 minutes.
FDB-00091,Sprint-2022-W16,PRJ-015,,EMP-223,2,We need to enforce code formatting and ESLint rules in the CI pipeline; local configuration drifts are annoying.,Provide sandbox credentials for local database testing.
FDB-00092,Sprint-2021-W10,PRJ-012,,EMP-215,3,Using Kafka was a massive overkill for AtlasPay. We could have achieved the same results with PostgreSQL queues or simple SQS.,Provide sandbox credentials for local database testing.
FDB-00093,Sprint-2021-W10,PRJ-022,,EMP-118,4,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Enforce standard code linter rules globally.
FDB-00094,Sprint-2021-W36,PRJ-005,ADR-0492,EMP-022,3,Regarding ADR-0492 (Adopt DynamoDB for atlaspay-gateway database storage): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0492.
FDB-00095,Sprint-2025-W13,PRJ-010,,EMP-165,2,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Refactor the billing module of insightcrm-analytics; it has too much technical debt.
FDB-00096,Sprint-2024-W29,PRJ-002,,EMP-037,2,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Refactor the billing module of novacommerce-ui; it has too much technical debt.
FDB-00097,Sprint-2023-W08,PRJ-003,,EMP-131,4,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Refactor the billing module of novacommerce-cart; it has too much technical debt.
FDB-00098,Sprint-2025-W35,PRJ-002,,EMP-101,4,We need to enforce code formatting and ESLint rules in the CI pipeline; local configuration drifts are annoying.,Provide sandbox credentials for local database testing.
FDB-00099,Sprint-2021-W44,PRJ-024,,EMP-121,3,Redis caching solved our immediate API bottlenecks. Highly recommend rolling it out to other services.,Refactor the billing module of security-scanner; it has too much technical debt.
FDB-00100,Sprint-2023-W44,PRJ-006,,EMP-048,3,Using Kafka was a massive overkill for AtlasPay. We could have achieved the same results with PostgreSQL queues or simple SQS.,Improve CI build times for atlaspay-ledger repository. Currently taking > 15 minutes.
FDB-00101,Sprint-2023-W02,PRJ-025,ADR-0478,EMP-149,2,Regarding ADR-0478 (Introduce NATS for decoupled communications in devops-ci-cd): The team found the design in ADR-0478 clean. It helped decouple our database calls nicely.,Write better onboarding docs for ADR-0478.
FDB-00102,Sprint-2022-W40,PRJ-005,,EMP-179,3,"Terraform configurations are clean, but applying them in dev environment is slow.",Provide sandbox credentials for local database testing.
FDB-00103,Sprint-2022-W20,PRJ-020,ADR-0171,EMP-227,2,Regarding ADR-0171 (Migrate platform-k8s-mesh frontend architecture to Vue.js): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0171.
FDB-00104,Sprint-2021-W12,PRJ-008,ADR-0467,EMP-123,2,Regarding ADR-0467 (Implement Redis cache layer for insightcrm-api): We hit some performance hiccups under load on insightcrm-api after applying this decision. We might need a follow-up architecture review.,Write better onboarding docs for ADR-0467.
FDB-00105,Sprint-2024-W41,PRJ-017,,EMP-185,3,We need to enforce code formatting and ESLint rules in the CI pipeline; local configuration drifts are annoying.,Refactor the billing module of fusionerp-core; it has too much technical debt.
FDB-00106,Sprint-2022-W18,PRJ-025,,EMP-244,3,Redis caching solved our immediate API bottlenecks. Highly recommend rolling it out to other services.,Set up an internal knowledge base detailing API interface contracts.
FDB-00107,Sprint-2025-W45,PRJ-010,,EMP-208,3,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Improve CI build times for insightcrm-analytics repository. Currently taking > 15 minutes.
FDB-00108,Sprint-2025-W49,PRJ-011,,EMP-164,3,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Improve CI build times for cloudsync-daemon repository. Currently taking > 15 minutes.
FDB-00109,Sprint-2023-W24,PRJ-011,,EMP-068,3,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Refactor the billing module of cloudsync-daemon; it has too much technical debt.
FDB-00110,Sprint-2025-W05,PRJ-005,ADR-0492,EMP-216,3,"Regarding ADR-0492 (Adopt DynamoDB for atlaspay-gateway database storage): Implementing this decision on atlaspay-gateway was relatively straightforward, but testing took time.",Write better onboarding docs for ADR-0492.
FDB-00111,Sprint-2022-W46,PRJ-020,ADR-0441,EMP-152,3,Regarding ADR-0441 (Migrate platform-k8s-mesh frontend architecture to Vue.js): The team found the design in ADR-0441 clean. It helped decouple our database calls nicely.,Write better onboarding docs for ADR-0441.
FDB-00112,Sprint-2025-W45,PRJ-016,ADR-0272,EMP-163,2,Regarding ADR-0272 (Implement Memcached cache layer for visionai-pipeline): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0272.
FDB-00113,Sprint-2023-W46,PRJ-011,ADR-0256,EMP-135,3,Regarding ADR-0256 (Introduce NATS for decoupled communications in cloudsync-daemon): We hit some performance hiccups under load on cloudsync-daemon after applying this decision. We might need a follow-up architecture review.,Write better onboarding docs for ADR-0256.
FDB-00114,Sprint-2022-W14,PRJ-023,ADR-0473,EMP-221,4,Regarding ADR-0473 (Implement Redis cache layer for security-auth-proxy): We hit some performance hiccups under load on security-auth-proxy after applying this decision. We might need a follow-up architecture review.,Write better onboarding docs for ADR-0473.
FDB-00115,Sprint-2023-W02,PRJ-001,,EMP-205,2,We need to enforce code formatting and ESLint rules in the CI pipeline; local configuration drifts are annoying.,Refactor the billing module of novacommerce-api; it has too much technical debt.
FDB-00116,Sprint-2022-W20,PRJ-022,,EMP-039,3,"Terraform configurations are clean, but applying them in dev environment is slow.",Refactor the billing module of platform-monitoring; it has too much technical debt.
FDB-00117,Sprint-2025-W15,PRJ-019,ADR-0247,EMP-217,2,Regarding ADR-0247 (Migrate fusionerp-frontend frontend architecture to React / Next.js): The team found the design in ADR-0247 clean. It helped decouple our database calls nicely.,Write better onboarding docs for ADR-0247.
FDB-00118,Sprint-2024-W11,PRJ-003,ADR-0369,EMP-227,4,Regarding ADR-0369 (Introduce AWS SQS for decoupled communications in novacommerce-cart): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0369.
FDB-00119,Sprint-2021-W34,PRJ-003,,EMP-160,2,Redis caching solved our immediate API bottlenecks. Highly recommend rolling it out to other services.,Refactor the billing module of novacommerce-cart; it has too much technical debt.
FDB-00120,Sprint-2025-W29,PRJ-011,,EMP-090,2,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Enforce standard code linter rules globally.
FDB-00121,Sprint-2023-W18,PRJ-006,ADR-0443,EMP-199,3,Regarding ADR-0443 (Use Nomad to deploy atlaspay-ledger to AWS): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0443.
FDB-00122,Sprint-2021-W14,PRJ-011,,EMP-068,2,FastAPI is amazing. It self-documents our CRM endpoints and cuts down API response development time significantly.,Refactor the billing module of cloudsync-daemon; it has too much technical debt.
FDB-00123,Sprint-2021-W08,PRJ-022,ADR-0488,EMP-099,3,Regarding ADR-0488 (Use Kubernetes to deploy platform-monitoring to AWS): There's still a learning curve for the team regarding the new tech stack. We need more pair programming sessions.,Write better onboarding docs for ADR-0488.
FDB-00124,Sprint-2025-W15,PRJ-015,,EMP-206,2,The lack of documentation on our gRPC interfaces makes it difficult for new hires to build features.,Set up an internal knowledge base detailing API interface contracts.
FDB-00125,Sprint-2023-W14,PRJ-021,ADR-0209,EMP-099,3,"Regarding ADR-0209 (Adopt Cassandra for platform-logging database storage): Implementing this decision on platform-logging was relatively straightforward, but testing took time.",Write better onboarding docs for ADR-0209.
FDB-00126,Sprint-2024-W29,PRJ-012,,EMP-176,2,"Terraform configurations are clean, but applying them in dev environment is slow.",Improve CI build times for cloudsync-storage repository. Currently taking > 15 minutes.
FDB-00127,Sprint-2024-W39,PRJ-025,,EMP-018,3,The lack of documentation on our gRPC interfaces makes it difficult for new hires to build features.,Improve CI build times for devops-ci-cd repository. Currently taking > 15 minutes.
FDB-00128,Sprint-2024-W05,PRJ-019,,EMP-208,2,"The database migration to Cassandra was complex, but it solved our write throughput issues on CloudSync.",Refactor the billing module of fusionerp-frontend; it has too much technical debt.
FDB-00129,Sprint-2022-W40,PRJ-008,,EMP-214,4,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Set up an internal knowledge base detailing API interface contracts.
FDB-00130,Sprint-2021-W32,PRJ-005,,EMP-159,4,"Terraform configurations are clean, but applying them in dev environment is slow.",Improve CI build times for atlaspay-gateway repository. Currently taking > 15 minutes.
FDB-00131,Sprint-2025-W01,PRJ-024,,EMP-218,3,Meetings are taking too much coding time. We should have fewer syncs and write more asynchronous updates.,Enforce standard code linter rules globally.
FDB-00132,Sprint-2025-W33,PRJ-024,,EMP-041,4,"Terraform configurations are clean, but applying them in dev environment is slow.",Enforce standard code linter rules globally.
FDB-00133,Sprint-2025-W39,PRJ-002,,EMP-129,4,We need to enforce code formatting and ESLint rules in the CI pipeline; local configuration drifts are annoying.,Set up an internal knowledge base detailing API interface contracts.
FDB-00134,Sprint-2021-W10,PRJ-014,,EMP-180,2,"The transition to Kubernetes makes deployments smoother, but debugging network policies in development is painful.",Provide sandbox credentials for local database testing.
FDB-00135,Sprint-2022-W12,PRJ-017,ADR-0345,EMP-078,3,"Regarding ADR-0345 (Introduce RabbitMQ for decoupled communications in fusionerp-core): Implementing this decision on fusionerp-core was relatively straightforward, but testing took time.",Write better onboarding docs for ADR-0345.
FDB-00136,Sprint-2021-W48,PRJ-025,,EMP-248,3,Redis caching solved our immediate API bottlenecks. Highly recommend rolling it out to other services.,Refactor the billing module of devops-ci-cd; it has too much technical debt.
